year,origin_iso3,asylum_iso3,country_origin,country_asylum,refugees_out,asylum_seekers_out,total_displaced_out
2019,COL,SUR,Colombia,Suriname,0,5,5
2019,COL,SWE,Colombia,Sweden,39,322,361
2019,COL,CHE,Colombia,Switzerland,246,90,336
2019,COL,TTO,Colombia,Trinidad and Tobago,12,53,65
2019,COL,URY,Colombia,Uruguay,158,29,187
2019,COL,USA,Colombia,United States of America,2936,12570,15506
2019,COL,VEN,Colombia,Venezuela,67622,49,67671
2020,COL,ABW,Colombia,Aruba,0,0,0
2020,COL,ARG,Colombia,Argentina,560,226,786
2020,COL,AUS,Colombia,Australia,103,317,420
2020,COL,AUT,Colombia,Austria,0,19,19
2020,COL,BEL,Colombia,Belgium,105,410,515
2020,COL,BHS,Colombia,Bahamas,5,0,5
2020,COL,BOL,Colombia,Bolivia (Plurinational State of),202,0,202
2020,COL,BRA,Colombia,Brazil,1297,1986,3283
2020,COL,CAN,Colombia,Canada,4577,4501,9078
2020,COL,CHL,Colombia,Chile,1231,3332,4563
2020,COL,COL,Colombia,Colombia,0,0,0
2020,COL,CRI,Colombia,Costa Rica,2322,1042,3364
2020,COL,CUW,Colombia,Curacao ,44,33,77
2020,COL,DNK,Colombia,Denmark,5,17,22
2020,COL,DOM,Colombia,Dominican Republic,0,5,5
2020,COL,ECU,Colombia,Ecuador,102931,11401,114332
2020,COL,FIN,Colombia,Finland,0,26,26
2020,COL,FRA,Colombia,France,644,690,1334
2020,COL,GBR,Colombia,United Kingdom of Great Britain and Northern Ireland,23,52,75
2020,COL,DEU,Colombia,Germany,69,845,914
2020,COL,GRC,Colombia,Greece,0,5,5
2020,COL,GTM,Colombia,Guatemala,10,5,15
2020,COL,HND,Colombia,Honduras,0,5,5
2020,COL,ISR,Colombia,Israel,0,295,295
2020,COL,ITA,Colombia,Italy,664,573,1237
2020,COL,KOR,Colombia,Rep. of Korea,0,14,14
2020,COL,LUX,Colombia,Luxembourg,0,10,10
2020,COL,MEX,Colombia,Mexico,448,899,1347
2020,COL,MLT,Colombia,Malta,0,26,26
2020,COL,NLD,Colombia,Netherlands (Kingdom of the),43,160,203
2020,COL,NIC,Colombia,Nicaragua,6,0,6
2020,COL,NOR,Colombia,Norway,12,13,25
2020,COL,NZL,Colombia,New Zealand,29,16,45
2020,COL,PAN,Colombia,Panama,1698,1114,2812
2020,COL,PRY,Colombia,Paraguay,17,40,57
2020,COL,PER,Colombia,Peru,706,1646,2352
2020,COL,PRT,Colombia,Portugal,33,14,47
2020,COL,SLV,Colombia,El Salvador,5,7,12
2020,COL,ESP,Colombia,Spain,985,23735,24720
2020,COL,SUR,Colombia,Suriname,0,5,5
2020,COL,SWE,Colombia,Sweden,40,101,141
2020,COL,CHE,Colombia,Switzerland,275,69,344
2020,COL,TTO,Colombia,Trinidad and Tobago,12,60,72
2020,COL,URY,Colombia,Uruguay,162,51,213
2020,COL,USA,Colombia,United States of America,2668,16868,19536
2020,COL,VEN,Colombia,Venezuela,67935,284,68219
2021,COL,ARG,Colombia,Argentina,561,258,819
2021,COL,AUS,Colombia,Australia,87,312,399
2021,COL,AUT,Colombia,Austria,5,13,18
2021,COL,BEL,Colombia,Belgium,135,240,375
2021,COL,BOL,Colombia,Bolivia (Plurinational State of),200,21,221
2021,COL,BRA,Colombia,Brazil,1300,2027,3327
2021,COL,CAN,Colombia,Canada,5835,3706,9541
2021,COL,CHL,Colombia,Chile,1234,3289,4523
2021,COL,COL,Colombia,Colombia,0,0,0
2021,COL,CRI,Colombia,Costa Rica,2317,1535,3852
2021,COL,CZE,Colombia,Czechia,0,5,5
2021,COL,DNK,Colombia,Denmark,5,12,17
2021,COL,DOM,Colombia,Dominican Republic,0,5,5
2021,COL,ECU,Colombia,Ecuador,54491,2719,57210
2021,COL,FIN,Colombia,Finland,0,11,11
2021,COL,FRA,Colombia,France,1036,634,1670
2021,COL,GBR,Colombia,United Kingdom of Great Britain and Northern Ireland,15,58,73
2021,COL,DEU,Colombia,Germany,79,880,959
2021,COL,GRC,Colombia,Greece,0,5,5
2021,COL,GTM,Colombia,Guatemala,10,16,26
2021,COL,ISL,Colombia,Iceland,0,11,11
2021,COL,IRL,Colombia,Ireland,0,5,5
2021,COL,ISR,Colombia,Israel,0,189,189
2021,COL,ITA,Colombia,Italy,950,374,1324
2021,COL,KOR,Colombia,Rep. of Korea,0,5,5
2021,COL,LUX,Colombia,Luxembourg,0,20,20
2021,COL,MEX,Colombia,Mexico,530,1765,2295
2021,COL,MLT,Colombia,Malta,0,26,26
2021,COL,NLD,Colombia,Netherlands (Kingdom of the),118,162,280
2021,COL,NIC,Colombia,Nicaragua,6,0,6
2021,COL,NOR,Colombia,Norway,8,40,48
2021,COL,NZL,Colombia,New Zealand,32,9,41
2021,COL,PAN,Colombia,Panama,1683,1062,2745
2021,COL,PRY,Colombia,Paraguay,17,214,231
2021,COL,PER,Colombia,Peru,712,1666,2378
2021,COL,PRT,Colombia,Portugal,24,21,45
2021,COL,SLV,Colombia,El Salvador,18,7,25
2021,COL,ESP,Colombia,Spain,2158,20320,22478
2021,COL,SUR,Colombia,Suriname,0,6,6
2021,COL,SWE,Colombia,Sweden,40,126,166
2021,COL,CHE,Colombia,Switzerland,288,98,386
2021,COL,TTO,Colombia,Trinidad and Tobago,11,64,75
2021,COL,URY,Colombia,Uruguay,162,85,247
2021,COL,USA,Colombia,United States of America,2557,38168,40725
2021,COL,VEN,Colombia,Venezuela,39168,516,39684
2024,COL,ABW,Colombia,Aruba,0,0,0
2024,COL,ARG,Colombia,Argentina,568,130,698
2024,COL,AUS,Colombia,Australia,43,1115,1158
2024,COL,AUT,Colombia,Austria,9,46,55
2024,COL,BEL,Colombia,Belgium,229,1008,1237
2024,COL,BOL,Colombia,Bolivia (Plurinational State of),200,0,200
2024,COL,BRA,Colombia,Brazil,391,1297,1688
2024,COL,CAN,Colombia,Canada,11249,10598,21847
2024,COL,CHL,Colombia,Chile,1235,3224,4459
2024,COL,COL,Colombia,Colombia,0,0,0
2024,COL,CRI,Colombia,Costa Rica,7190,4490,11680
2024,COL,CUW,Colombia,Curacao ,0,0,0
2024,COL,CYP,Colombia,Cyprus,0,5,5
2024,COL,CZE,Colombia,Czechia,5,5,10
2024,COL,DNK,Colombia,Denmark,221,43,264
2024,COL,DOM,Colombia,Dominican Republic,0,20,20
2024,COL,ECU,Colombia,Ecuador,19710,3626,23336
2024,COL,FIN,Colombia,Finland,23,32,55
2024,COL,FRA,Colombia,France,2218,693,2911
2024,COL,GBR,Colombia,United Kingdom of Great Britain and Northern Ireland,117,2006,2123
2024,COL,DEU,Colombia,Germany,198,6237,6435
2024,COL,GRC,Colombia,Greece,0,8,8
2024,COL,GTM,Colombia,Guatemala,13,164,177
2024,COL,HND,Colombia,Honduras,5,17,22
2024,COL,HRV,Colombia,Croatia,0,7,7
2024,COL,ISL,Colombia,Iceland,20,40,60
2024,COL,IRL,Colombia,Ireland,8,11,19
2024,COL,ISR,Colombia,Israel,0,282,282
2024,COL,ITA,Colombia,Italy,1516,4725,6241
2024,COL,LUX,Colombia,Luxembourg,0,190,190
2024,COL,MEX,Colombia,Mexico,710,5131,5841
2024,COL,MLT,Colombia,Malta,0,60,60
2024,COL,NLD,Colombia,Netherlands (Kingdom of the),378,1055,1433
2024,COL,NOR,Colombia,Norway,165,278,443
2024,COL,NZL,Colombia,New Zealand,37,41,78
2024,COL,PAN,Colombia,Panama,1622,780,2402
2024,COL,PRY,Colombia,Paraguay,22,137,159
2024,COL,PER,Colombia,Peru,739,4894,5633
2024,COL,POL,Colombia,Poland,7,24,31
2024,COL,PRT,Colombia,Portugal,13,335,348
2024,COL,ROU,Colombia,Romania,0,5,5
2024,COL,SLV,Colombia,El Salvador,16,14,30
2024,COL,ESP,Colombia,Spain,4063,92460,96523
2024,COL,SUR,Colombia,Suriname,0,5,5
2024,COL,SVK,Colombia,Slovakia,0,5,5
2024,COL,SVN,Colombia,Slovenia,0,5,5
2024,COL,SWE,Colombia,Sweden,278,117,395
2024,COL,CHE,Colombia,Switzerland,352,306,658
2024,COL,SXM,Colombia,Sint Maarten (Dutch part),7,15,22
2024,COL,TTO,Colombia,Trinidad and Tobago,8,62,70
2024,COL,URY,Colombia,Uruguay,175,292,467
2024,COL,USA,Colombia,United States of America,4842,250260,255102
2024,COL,VEN,Colombia,Venezuela,19173,1572,20745
2023,COL,ARG,Colombia,Argentina,564,188,752
2023,COL,AUS,Colombia,Australia,39,423,462
2023,COL,AUT,Colombia,Austria,8,21,29
2023,COL,BEL,Colombia,Belgium,182,955,1137
2023,COL,BOL,Colombia,Bolivia (Plurinational State of),200,36,236
2023,COL,BRA,Colombia,Brazil,270,1871,2141
2023,COL,CAN,Colombia,Canada,7002,10353,17355
2023,COL,CHL,Colombia,Chile,1235,2902,4137
2023,COL,COL,Colombia,Colombia,0,0,0
2023,COL,CRI,Colombia,Costa Rica,2292,2998,5290
2023,COL,CYP,Colombia,Cyprus,0,5,5
2023,COL,CZE,Colombia,Czechia,5,0,5
2023,COL,DNK,Colombia,Denmark,5,18,23
2023,COL,DOM,Colombia,Dominican Republic,0,24,24
2023,COL,ECU,Colombia,Ecuador,59358,3856,63214
2023,COL,FIN,Colombia,Finland,8,85,93
2023,COL,FRA,Colombia,France,1821,844,2665
2023,COL,GBR,Colombia,United Kingdom of Great Britain and Northern Ireland,27,1375,1402
2023,COL,DEU,Colombia,Germany,199,4322,4521
2023,COL,GRC,Colombia,Greece,0,8,8
2023,COL,GTM,Colombia,Guatemala,10,62,72
2023,COL,HND,Colombia,Honduras,5,5,10
2023,COL,HRV,Colombia,Croatia,0,5,5
2023,COL,ISL,Colombia,Iceland,7,35,42
2023,COL,IRL,Colombia,Ireland,5,12,17
2023,COL,ISR,Colombia,Israel,0,167,167
2023,COL,ITA,Colombia,Italy,1218,2602,3820
2023,COL,LUX,Colombia,Luxembourg,0,100,100
2023,COL,MEX,Colombia,Mexico,556,4495,5051
2023,COL,MLT,Colombia,Malta,0,26,26
2023,COL,NLD,Colombia,Netherlands (Kingdom of the),370,787,1157
2023,COL,NIC,Colombia,Nicaragua,6,0,6
2023,COL,NOR,Colombia,Norway,105,246,351
2023,COL,NZL,Colombia,New Zealand,36,27,63
2023,COL,PAN,Colombia,Panama,1686,908,2594
2023,COL,PRY,Colombia,Paraguay,21,292,313
2023,COL,PER,Colombia,Peru,748,3857,4605
2023,COL,POL,Colombia,Poland,5,10,15
2023,COL,PRT,Colombia,Portugal,17,210,227
2023,COL,SLV,Colombia,El Salvador,16,17,33
2023,COL,ESP,Colombia,Spain,3475,76500,79975
2023,COL,SUR,Colombia,Suriname,0,6,6
2023,COL,SWE,Colombia,Sweden,43,237,280
2023,COL,CHE,Colombia,Switzerland,335,294,629
2023,COL,SXM,Colombia,Sint Maarten (Dutch part),5,13,18
2023,COL,TTO,Colombia,Trinidad and Tobago,7,73,80
2023,COL,URY,Colombia,Uruguay,174,232,406
2023,COL,USA,Colombia,United States of America,4272,178750,183022
2023,COL,VEN,Colombia,Venezuela,29176,1572,30748
2022,COL,ARG,Colombia,Argentina,562,294,856
2022,COL,AUS,Colombia,Australia,85,358,443
2022,COL,AUT,Colombia,Austria,5,28,33
2022,COL,BEL,Colombia,Belgium,160,570,730
2022,COL,BOL,Colombia,Bolivia (Plurinational State of),200,47,247
2022,COL,BRA,Colombia,Brazil,1318,2366,3684
2022,COL,CAN,Colombia,Canada,4351,8946,13297
2022,COL,CHL,Colombia,Chile,1235,2554,3789
2022,COL,COL,Colombia,Colombia,0,0,0
2022,COL,CRI,Colombia,Costa Rica,2304,2555,4859
2022,COL,CYP,Colombia,Cyprus,0,5,5
2022,COL,CZE,Colombia,Czechia,5,0,5
2022,COL,DNK,Colombia,Denmark,5,29,34
2022,COL,DOM,Colombia,Dominican Republic,0,12,12
2022,COL,ECU,Colombia,Ecuador,57160,3964,61124
2022,COL,FIN,Colombia,Finland,6,47,53
2022,COL,FRA,Colombia,France,1427,863,2290
2022,COL,GBR,Colombia,United Kingdom of Great Britain and Northern Ireland,15,144,159
2022,COL,DEU,Colombia,Germany,132,1766,1898
2022,COL,GTM,Colombia,Guatemala,10,27,37
2022,COL,HND,Colombia,Honduras,5,0,5
2022,COL,ISL,Colombia,Iceland,0,30,30
2022,COL,ISR,Colombia,Israel,0,129,129
2022,COL,ITA,Colombia,Italy,1094,1549,2643
2022,COL,LUX,Colombia,Luxembourg,0,35,35
2022,COL,MEX,Colombia,Mexico,616,3385,4001
2022,COL,MLT,Colombia,Malta,0,15,15
2022,COL,NLD,Colombia,Netherlands (Kingdom of the),290,469,759
2022,COL,NIC,Colombia,Nicaragua,6,0,6
2022,COL,NOR,Colombia,Norway,49,131,180
2022,COL,NZL,Colombia,New Zealand,33,5,38
2022,COL,PAN,Colombia,Panama,1654,832,2486
2022,COL,PRY,Colombia,Paraguay,18,267,285
2022,COL,PER,Colombia,Peru,734,1783,2517
2022,COL,POL,Colombia,Poland,5,0,5
2022,COL,PRT,Colombia,Portugal,21,69,90
2022,COL,SLV,Colombia,El Salvador,16,8,24
2022,COL,ESP,Colombia,Spain,2785,40345,43130
2022,COL,SUR,Colombia,Suriname,0,6,6
2022,COL,SWE,Colombia,Sweden,40,373,413
2022,COL,CHE,Colombia,Switzerland,323,153,476
2022,COL,TTO,Colombia,Trinidad and Tobago,8,57,65
2022,COL,URY,Colombia,Uruguay,170,130,300
2022,COL,USA,Colombia,United States of America,2984,68819,71803
2022,COL,VEN,Colombia,Venezuela,29181,1045,30226
2019,CRI,ARG,Costa Rica,Argentina,5,0,5
2019,CRI,BRA,Costa Rica,Brazil,0,14,14
2019,CRI,CAN,Costa Rica,Canada,13,46,59
2019,CRI,CHL,Costa Rica,Chile,5,0,5
2019,CRI,FRA,Costa Rica,France,5,0,5
2019,CRI,GBR,Costa Rica,United Kingdom of Great Britain and Northern Ireland,0,6,6
2019,CRI,ITA,Costa Rica,Italy,6,0,6
2019,CRI,MDG,Costa Rica,Madagascar,0,5,5
2019,CRI,MEX,Costa Rica,Mexico,0,43,43
2019,CRI,PAN,Costa Rica,Panama,0,5,5
2019,CRI,PER,Costa Rica,Peru,0,5,5
2019,CRI,ESP,Costa Rica,Spain,0,65,65
2019,CRI,USA,Costa Rica,United States of America,172,550,722
2020,CRI,ARG,Costa Rica,Argentina,5,0,5
2020,CRI,BEL,Costa Rica,Belgium,0,5,5
2020,CRI,BRA,Costa Rica,Brazil,0,15,15
2020,CRI,CAN,Costa Rica,Canada,12,32,44
2020,CRI,CHL,Costa Rica,Chile,5,0,5
2020,CRI,FRA,Costa Rica,France,5,0,5
2020,CRI,GBR,Costa Rica,United Kingdom of Great Britain and Northern Ireland,0,5,5
2020,CRI,DEU,Costa Rica,Germany,0,5,5
2020,CRI,MEX,Costa Rica,Mexico,5,62,67
2020,CRI,PAN,Costa Rica,Panama,0,5,5
2020,CRI,PER,Costa Rica,Peru,0,5,5
2020,CRI,ESP,Costa Rica,Spain,5,65,70
2020,CRI,USA,Costa Rica,United States of America,171,601,772
2021,CRI,ARG,Costa Rica,Argentina,5,0,5
2021,CRI,BRA,Costa Rica,Brazil,0,18,18
2021,CRI,CAN,Costa Rica,Canada,13,52,65
2021,CRI,CHL,Costa Rica,Chile,5,0,5
2021,CRI,CRI,Costa Rica,Costa Rica,0,0,0
2021,CRI,GBR,Costa Rica,United Kingdom of Great Britain and Northern Ireland,0,7,7
2021,CRI,MEX,Costa Rica,Mexico,33,119,152
2021,CRI,PER,Costa Rica,Peru,0,5,5
2021,CRI,ESP,Costa Rica,Spain,5,70,75
2021,CRI,USA,Costa Rica,United States of America,174,718,892
2024,CRI,ARG,Costa Rica,Argentina,5,0,5
2024,CRI,BRA,Costa Rica,Brazil,0,15,15
2024,CRI,CAN,Costa Rica,Canada,94,111,205
2024,CRI,CHL,Costa Rica,Chile,5,0,5
2024,CRI,CRI,Costa Rica,Costa Rica,0,0,0
2024,CRI,FIN,Costa Rica,Finland,0,5,5
2024,CRI,GBR,Costa Rica,United Kingdom of Great Britain and Northern Ireland,6,8,14
2024,CRI,GTM,Costa Rica,Guatemala,0,5,5
2024,CRI,IRL,Costa Rica,Ireland,5,5,10
2024,CRI,ITA,Costa Rica,Italy,6,23,29
2024,CRI,MEX,Costa Rica,Mexico,70,163,233
2024,CRI,PAN,Costa Rica,Panama,0,5,5
2024,CRI,PER,Costa Rica,Peru,0,5,5
2024,CRI,SLV,Costa Rica,El Salvador,0,8,8
2024,CRI,ESP,Costa Rica,Spain,54,150,204
2024,CRI,USA,Costa Rica,United States of America,71,1878,1949
2023,CRI,ARG,Costa Rica,Argentina,5,0,5
2023,CRI,BRA,Costa Rica,Brazil,0,6,6
2023,CRI,CAN,Costa Rica,Canada,33,87,120
2023,CRI,CHL,Costa Rica,Chile,5,0,5
2023,CRI,CRI,Costa Rica,Costa Rica,0,0,0
2023,CRI,GBR,Costa Rica,United Kingdom of Great Britain and Northern Ireland,5,12,17
2023,CRI,DEU,Costa Rica,Germany,0,10,10
2023,CRI,IRL,Costa Rica,Ireland,5,5,10
2023,CRI,ITA,Costa Rica,Italy,6,6,12
2023,CRI,MEX,Costa Rica,Mexico,54,153,207
2023,CRI,PAN,Costa Rica,Panama,0,5,5
2023,CRI,PER,Costa Rica,Peru,0,5,5
2023,CRI,PRT,Costa Rica,Portugal,5,0,5
2023,CRI,SLV,Costa Rica,El Salvador,0,5,5
2023,CRI,ESP,Costa Rica,Spain,21,105,126
2023,CRI,USA,Costa Rica,United States of America,68,1285,1353
2022,CRI,ARG,Costa Rica,Argentina,5,0,5
2022,CRI,BRA,Costa Rica,Brazil,5,14,19
2022,CRI,CAN,Costa Rica,Canada,23,61,84
2022,CRI,CHL,Costa Rica,Chile,5,0,5
2022,CRI,CRI,Costa Rica,Costa Rica,0,0,0
2022,CRI,GBR,Costa Rica,United Kingdom of Great Britain and Northern Ireland,0,13,13
2022,CRI,DEU,Costa Rica,Germany,0,5,5
2022,CRI,ITA,Costa Rica,Italy,0,19,19
2022,CRI,MEX,Costa Rica,Mexico,44,177,221
2022,CRI,PER,Costa Rica,Peru,0,5,5
2022,CRI,POL,Costa Rica,Poland,5,0,5
2022,CRI,ESP,Costa Rica,Spain,5,85,90
2022,CRI,USA,Costa Rica,United States of America,183,900,1083
2019,CUB,ARG,Cuba,Argentina,257,815,1072
2019,CUB,ARM,Cuba,Armenia,0,23,23
2019,CUB,AUT,Cuba,Austria,14,12,26
2019,CUB,BEL,Cuba,Belgium,9,0,9
2019,CUB,BHS,Cuba,Bahamas,5,5,10
2019,CUB,BLR,Cuba,Belarus,0,5,5
2019,CUB,BOL,Cuba,Bolivia (Plurinational State of),48,0,48
2019,CUB,BRA,Cuba,Brazil,238,14560,14798
2019,CUB,BLZ,Cuba,Belize,0,5,5
2019,CUB,CAN,Cuba,Canada,598,246,844
2019,CUB,CYM,Cuba,Cayman Islands,34,14,48
2019,CUB,CHL,Cuba,Chile,19,1449,1468
2019,CUB,COL,Cuba,Colombia,73,85,158
2019,CUB,CRI,Cuba,Costa Rica,380,1933,2313
2019,CUB,CYP,Cuba,Cyprus,0,5,5
2019,CUB,CZE,Cuba,Czechia,46,25,71
2019,CUB,DOM,Cuba,Dominican Republic,0,32,32
2019,CUB,ECU,Cuba,Ecuador,214,177,391
2019,CUB,ETH,Cuba,Ethiopia,5,0,5
2019,CUB,FIN,Cuba,Finland,5,36,41
2019,CUB,FRA,Cuba,France,196,23,219
2019,CUB,GBR,Cuba,United Kingdom of Great Britain and Northern Ireland,10,11,21
2019,CUB,DEU,Cuba,Germany,86,66,152
2019,CUB,GRC,Cuba,Greece,0,24,24
2019,CUB,GTM,Cuba,Guatemala,0,39,39
2019,CUB,GUY,Cuba,Guyana,9,57,66
2019,CUB,HND,Cuba,Honduras,0,5,5
2019,CUB,HUN,Cuba,Hungary,79,0,79
2019,CUB,IRL,Cuba,Ireland,5,0,5
2019,CUB,ITA,Cuba,Italy,238,105,343
2019,CUB,LTU,Cuba,Lithuania,5,0,5
2019,CUB,MKD,Cuba,North Macedonia,0,5,5
2019,CUB,MEX,Cuba,Mexico,325,6746,7071
2019,CUB,MNE,Cuba,Montenegro,0,5,5
2019,CUB,NLD,Cuba,Netherlands (Kingdom of the),28,28,56
2019,CUB,NIC,Cuba,Nicaragua,15,0,15
2019,CUB,PAN,Cuba,Panama,120,2662,2782
2019,CUB,PRY,Cuba,Paraguay,109,617,726
2019,CUB,PER,Cuba,Peru,477,2693,3170
2019,CUB,POL,Cuba,Poland,17,11,28
2019,CUB,PRT,Cuba,Portugal,5,12,17
2019,CUB,ROU,Cuba,Romania,0,5,5
2019,CUB,SLV,Cuba,El Salvador,0,5,5
2019,CUB,ESP,Cuba,Spain,856,1645,2501
2019,CUB,SRB,Cuba,Serbia and Kosovo: S/RES/1244 (1999),7,0,7
2019,CUB,KNA,Cuba,Saint Kitts and Nevis,5,0,5
2019,CUB,SUR,Cuba,Suriname,36,1187,1223
2019,CUB,SVK,Cuba,Slovakia,32,0,32
2019,CUB,SWE,Cuba,Sweden,36,26,62
2019,CUB,CHE,Cuba,Switzerland,34,8,42
2019,CUB,SXM,Cuba,Sint Maarten (Dutch part),0,5,5
2019,CUB,TCA,Cuba,Turks and Caicos Islands,5,0,5
2019,CUB,TTO,Cuba,Trinidad and Tobago,155,2257,2412
2019,CUB,URY,Cuba,Uruguay,25,12371,12396
